hvac_power,indoor_temperature,outdoor_temperature,humidity,beam_solar_rad,setpoint_change,day_of_week_sin,day_of_week_cos,hour_of_day_sin,hour_of_day_cos,timestamp_lag_1,hvac_power_lag_1,indoor_temperature_lag_1,timestamp_lag_2,hvac_power_lag_2,indoor_temperature_lag_2,timestamp_lag_3,hvac_power_lag_3,indoor_temperature_lag_3,timestamp_lag_4,hvac_power_lag_4,indoor_temperature_lag_4
1.3975029273765185,19.99987431346287,-3.2,68.5,0.0,-1.0,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683,45.0,1.4026039402566641,19.999976640025256,30.0,1.406046446461485,19.99998128137815,15.0,1.4093238167184996,19.99995709636183,0.0,1.4124439941164204,19.999954480635026
1.392520548085404,19.999959659419062,-3.4,70.0,0.0,-1.0,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683,45.0,1.3975029273765185,19.99987431346287,30.0,1.4026039402566641,19.999976640025256,15.0,1.406046446461485,19.99998128137815,0.0,1.4093238167184996,19.99995709636183
1.3876513027072894,19.99992522254893,-3.5999999999999996,71.5,0.0,-1.0,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683,45.0,1.392520548085404,19.999959659419062,30.0,1.3975029273765185,19.99987431346287,15.0,1.4026039402566641,19.999976640025256,0.0,1.406046446461485,19.99998128137815
1.382889849406137,19.999941720985618,-3.8,73.0,0.0,-1.0,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683,45.0,1.3876513027072894,19.99992522254893,30.0,1.392520548085404,19.999959659419062,15.0,1.3975029273765185,19.99987431346287,0.0,1.4026039402566641,19.999976640025256
1.3807008560309844,19.999969174433538,-3.9499999999999997,73.5,0.0,-1.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,45.0,1.382889849406137,19.999941720985618,30.0,1.3876513027072894,19.99992522254893,15.0,1.392520548085404,19.999959659419062,0.0,1.3975029273765185,19.99987431346287
1.3785257819195866,19.999959692869382,-4.1,74.0,0.0,-1.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,45.0,1.3807008560309844,19.999969174433538,30.0,1.382889849406137,19.999941720985618,15.0,1.3876513027072894,19.99992522254893,0.0,1.392520548085404,19.999959659419062
1.3763636552554939,19.99996492533242,-4.25,74.5,0.0,-1.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,45.0,1.3785257819195866,19.999959692869382,30.0,1.3807008560309844,19.999969174433538,15.0,1.382889849406137,19.999941720985618,0.0,1.3876513027072894,19.99992522254893
1.3742134974326263,19.99996792660326,-4.4,75.0,0.0,-1.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,45.0,1.3763636552554939,19.99996492533242,30.0,1.3785257819195866,19.999959692869382,15.0,1.3807008560309844,19.999969174433538,0.0,1.382889849406137,19.999941720985618
1.3703264347592254,19.999966055318417,-4.65,76.0,0.0,-1.0,0.8660254037844386,0.5000000000000001,0.7071067811865475,0.7071067811865476,45.0,1.3742134974326263,19.99996792660326,30.0,1.3763636552554939,19.99996492533242,15.0,1.3785257819195866,19.999959692869382,0.0,1.3807008560309844,19.999969174433538
1.3664815333615778,19.999941681890267,-4.9,77.0,0.0,-1.0,0.8660254037844386,0.5000000000000001,0.7071067811865475,0.7071067811865476,45.0,1.3703264347592254,19.999966055318417,30.0,1.3742134974326263,19.99996792660326,15.0,1.3763636552554939,19.99996492533242,0.0,1.3785257819195866,19.999959692869382
1.3626736257679553,19.999978121571,-5.15,78.0,0.0,-1.0,0.8660254037844386,0.5000000000000001,0.7071067811865475,0.7071067811865476,45.0,1.3664815333615778,19.999941681890267,30.0,1.3703264347592254,19.999966055318417,15.0,1.3742134974326263,19.99996792660326,0.0,1.3763636552554939,19.99996492533242
