6.283956803214764131e-01,-3.594820141396203872e-01,-3.596102975774339572e-01,4.488658417548575530e-01,-6.042297297242985588e-01,-3.136166214511800776e-01,8.660254037844385966e-01,5.000000000000001110e-01,2.588190451025207395e-01,9.659258262890683122e-01,4.500000000000000000e+01,6.339806711731930111e-01,-3.593852477949463498e-01,3.000000000000000000e+01,6.367728446505523943e-01,-3.594255005230724831e-01,1.500000000000000000e+01,6.385215897638480964e-01,-3.593839696750368295e-01,0.000000000000000000e+00,6.392354364264182243e-01,-3.594472302425271160e-01
6.228416766232144353e-01,-3.594419723325888993e-01,-3.913164255645778522e-01,4.907450834805089923e-01,-6.042297297242985588e-01,-3.136166214511800776e-01,8.660254037844385966e-01,5.000000000000001110e-01,2.588190451025207395e-01,9.659258262890683122e-01,4.500000000000000000e+01,6.283956803214764131e-01,-3.594820141396203872e-01,3.000000000000000000e+01,6.339806711731930111e-01,-3.593852477949463498e-01,1.500000000000000000e+01,6.367728446505523943e-01,-3.594255005230724831e-01,0.000000000000000000e+00,6.385215897638480964e-01,-3.593839696750368295e-01
6.173154144695983669e-01,-3.594436039587843301e-01,-4.230225535517216362e-01,5.326243252061604316e-01,-6.042297297242985588e-01,-3.136166214511800776e-01,8.660254037844385966e-01,5.000000000000001110e-01,2.588190451025207395e-01,9.659258262890683122e-01,4.500000000000000000e+01,6.228416766232144353e-01,-3.594419723325888993e-01,3.000000000000000000e+01,6.283956803214764131e-01,-3.594820141396203872e-01,1.500000000000000000e+01,6.339806711731930111e-01,-3.593852477949463498e-01,0.000000000000000000e+00,6.367728446505523943e-01,-3.594255005230724831e-01
6.118136415093479163e-01,-3.594392638333889778e-01,-4.547286815388654202e-01,5.745035669318118154e-01,-6.042297297242985588e-01,-3.136166214511800776e-01,8.660254037844385966e-01,5.000000000000001110e-01,2.588190451025207395e-01,9.659258262890683122e-01,4.500000000000000000e+01,6.173154144695983669e-01,-3.594436039587843301e-01,3.000000000000000000e+01,6.228416766232144353e-01,-3.594419723325888993e-01,1.500000000000000000e+01,6.283956803214764131e-01,-3.594820141396203872e-01,0.000000000000000000e+00,6.339806711731930111e-01,-3.593852477949463498e-01
6.114076235988135100e-01,-3.594487616782771622e-01,-4.819053626707029969e-01,5.326243252061604316e-01,-6.042297297242985588e-01,-3.136166214511800776e-01,8.660254037844385966e-01,5.000000000000001110e-01,4.999999999999999445e-01,8.660254037844387076e-01,4.500000000000000000e+01,6.118136415093479163e-01,-3.594392638333889778e-01,3.000000000000000000e+01,6.173154144695983669e-01,-3.594436039587843301e-01,1.500000000000000000e+01,6.228416766232144353e-01,-3.594419723325888993e-01,0.000000000000000000e+00,6.283956803214764131e-01,-3.594820141396203872e-01
6.109042034101207497e-01,-3.594232696744821265e-01,-5.090820438025405181e-01,4.907450834805089923e-01,-6.042297297242985588e-01,-3.136166214511800776e-01,8.660254037844385966e-01,5.000000000000001110e-01,4.999999999999999445e-01,8.660254037844387076e-01,4.500000000000000000e+01,6.114076235988135100e-01,-3.594487616782771622e-01,3.000000000000000000e+01,6.118136415093479163e-01,-3.594392638333889778e-01,1.500000000000000000e+01,6.173154144695983669e-01,-3.594436039587843301e-01,0.000000000000000000e+00,6.228416766232144353e-01,-3.594419723325888993e-01
6.103029545000496769e-01,-3.594365094084499002e-01,-5.362587249343779838e-01,4.488658417548575530e-01,-6.042297297242985588e-01,-3.136166214511800776e-01,8.660254037844385966e-01,5.000000000000001110e-01,4.999999999999999445e-01,8.660254037844387076e-01,4.500000000000000000e+01,6.109042034101207497e-01,-3.594232696744821265e-01,3.000000000000000000e+01,6.114076235988135100e-01,-3.594487616782771622e-01,1.500000000000000000e+01,6.118136415093479163e-01,-3.594392638333889778e-01,0.000000000000000000e+00,6.173154144695983669e-01,-3.594436039587843301e-01
6.096034119948638974e-01,-3.594402253538452330e-01,-5.634354060662155605e-01,4.069866000292061137e-01,-6.042297297242985588e-01,-3.136166214511800776e-01,8.660254037844385966e-01,5.000000000000001110e-01,4.999999999999999445e-01,8.660254037844387076e-01,4.500000000000000000e+01,6.103029545000496769e-01,-3.594365094084499002e-01,3.000000000000000000e+01,6.109042034101207497e-01,-3.594232696744821265e-01,1.500000000000000000e+01,6.114076235988135100e-01,-3.594487616782771622e-01,0.000000000000000000e+00,6.118136415093479163e-01,-3.594392638333889778e-01
6.099885651164486111e-01,-3.594769143584023441e-01,-5.996709809086656628e-01,3.232281165779032905e-01,-6.042297297242985588e-01,-3.136166214511800776e-01,8.660254037844385966e-01,5.000000000000001110e-01,7.071067811865474617e-01,7.071067811865475727e-01,4.500000000000000000e+01,6.096034119948638974e-01,-3.594402253538452330e-01,3.000000000000000000e+01,6.103029545000496769e-01,-3.594365094084499002e-01,1.500000000000000000e+01,6.109042034101207497e-01,-3.594232696744821265e-01,0.000000000000000000e+00,6.114076235988135100e-01,-3.594487616782771622e-01
6.101518003707077087e-01,-3.594874246711728394e-01,-6.359065557511157651e-01,2.394696331266004119e-01,-6.042297297242985588e-01,-3.136166214511800776e-01,8.660254037844385966e-01,5.000000000000001110e-01,7.071067811865474617e-01,7.071067811865475727e-01,4.500000000000000000e+01,6.099885651164486111e-01,-3.594769143584023441e-01,3.000000000000000000e+01,6.096034119948638974e-01,-3.594402253538452330e-01,1.500000000000000000e+01,6.103029545000496769e-01,-3.594365094084499002e-01,0.000000000000000000e+00,6.109042034101207497e-01,-3.594232696744821265e-01
6.100921431250840854e-01,-3.594893813914081249e-01,-6.721421305935657564e-01,1.557111496752975333e-01,-6.042297297242985588e-01,-3.136166214511800776e-01,8.660254037844385966e-01,5.000000000000001110e-01,7.071067811865474617e-01,7.071067811865475727e-01,4.500000000000000000e+01,6.101518003707077087e-01,-3.594874246711728394e-01,3.000000000000000000e+01,6.099885651164486111e-01,-3.594769143584023441e-01,1.500000000000000000e+01,6.096034119948638974e-01,-3.594402253538452330e-01,0.000000000000000000e+00,6.103029545000496769e-01,-3.594365094084499002e-01
6.098085550614198436e-01,-3.594897734412399459e-01,-7.083777054360158587e-01,7.195266622399468237e-02,-6.042297297242985588e-01,-3.136166214511800776e-01,8.660254037844385966e-01,5.000000000000001110e-01,7.071067811865474617e-01,7.071067811865475727e-01,4.500000000000000000e+01,6.100921431250840854e-01,-3.594893813914081249e-01,3.000000000000000000e+01,6.101518003707077087e-01,-3.594874246711728394e-01,1.500000000000000000e+01,6.099885651164486111e-01,-3.594769143584023441e-01,0.000000000000000000e+00,6.096034119948638974e-01,-3.594402253538452330e-01
6.036726849895768243e-01,-3.594668043904042931e-01,-7.400838334231595317e-01,1.138319079496461078e-01,-6.042297297242985588e-01,-3.136166214511800776e-01,8.660254037844385966e-01,5.000000000000001110e-01,8.660254037844385966e-01,5.000000000000001110e-01,4.500000000000000000e+01,6.098085550614198436e-01,-3.594897734412399459e-01,3.000000000000000000e+01,6.100921431250840854e-01,-3.594893813914081249e-01,1.500000000000000000e+01,6.101518003707077087e-01,-3.594874246711728394e-01,0.000000000000000000e+00,6.099885651164486111e-01,-3.594769143584023441e-01
