,power_predictions,power_schedule,slacked_power_schedule,power,temperature_predictions,temperature,actions
0,1.319060046582076,0.0,0.0,1.3300773409071205,21.067152595969855,20.999990745964567,0.0
1,1.3181473857365211,0.0,0.0,1.333143542680751,21.18910043786581,21.000000101728016,0.0
2,1.333823716687084,0.0,0.0,1.3340285928674098,21.143448036710783,20.99986678329365,0.0
3,1.3256727261499437,0.0,0.0,1.3348504719116665,21.207050310790386,20.99986975088969,0.0
4,1.335573504081439,0.0,0.0,1.3356089676119345,21.128803050402734,20.999884553542948,0.0
5,1.3279068079479213,0.0,0.0,1.336303835746567,21.16406131738884,20.99990548407051,0.0
6,1.3365977633608217,0.0,0.0,1.337469893965572,21.13536423095295,20.99990656773071,0.0
7,1.3297327541866344,0.0,0.0,1.3385576295001975,21.1251440682636,20.999917476847084,0.0
8,1.3372833615915567,0.0,0.0,1.3395667519149193,21.126810466831376,20.99992861806258,0.0
9,1.3303678401222494,0.0,0.0,1.3404969714230648,21.095266538002146,20.999938734988667,0.0
10,1.337593756273129,0.0,0.0,1.3393186517547497,21.119356281442727,20.999932194231313,0.0
11,1.32762875754522,0.0,0.0,1.3381220771954763,21.064653588088785,20.999936674363685,0.0
12,1.3343662392457674,0.0,0.0,1.3369061140954863,21.1082805250385,20.999941675570252,0.0
13,1.324582788181897,0.0,0.0,1.3356695960796423,21.061268744994766,20.999945912389624,0.0
14,1.332372540255875,0.0,0.0,1.3348844028106623,21.094640282085663,20.99996283112014,0.0
15,1.3226742036710986,0.0,0.0,1.3340604871929627,21.055303754367284,20.99996050619033,0.0
16,1.330131297066783,0.0,0.0,1.3331968765223874,21.08130137487266,20.999961063290275,0.0
17,1.3204401595315431,0.0,0.0,1.3322925711369626,21.055029002778156,20.999962569552736,0.0
18,1.3315731962971664,0.0,0.0,1.333646269983597,21.07436156550047,21.000018925757963,0.0
19,1.3249127492544424,0.0,0.0,1.3350032366581006,21.031534254220347,21.00000889086044,0.0
20,1.3342336117126457,0.0,0.0,1.3363634830075732,21.072895790168953,21.000003354895533,0.0
21,1.327444742729183,0.0,0.0,1.3377270209364511,21.009610833925162,21.00000101889243,0.0
22,1.3405372674719038,0.0,0.0,1.3396806598767863,21.07513941876701,21.00013198141149,0.0
23,1.3374252096319785,0.0,0.0,1.3416472622994395,20.95544544584596,20.999306204104684,0.0
24,1.3444382787268667,0.0,0.0,1.3436269606198403,21.075024998550326,20.999927590992062,0.0
25,1.34090032816024,0.0,0.0,1.3456198765947311,20.9433838156085,21.000049657549415,0.0
26,1.3520302352450455,0.0,0.0,1.3464399755893606,21.0669925956164,20.999822562060853,0.0
27,1.3490920859436497,0.0,0.0,1.3472301946081295,20.914008329122947,20.999899716628207,0.0
28,1.353176719091689,0.0,0.0,1.347990444968412,21.067414309764036,20.9998711524132,0.0
