hvac_power,indoor_temperature,outdoor_temperature,humidity,beam_solar_rad,setpoint_change,day_of_week_sin,day_of_week_cos,hour_of_day_sin,hour_of_day_cos,timestamp_lag_1,hvac_power_lag_1,indoor_temperature_lag_1,timestamp_lag_2,hvac_power_lag_2,indoor_temperature_lag_2,timestamp_lag_3,hvac_power_lag_3,indoor_temperature_lag_3,timestamp_lag_4,hvac_power_lag_4,indoor_temperature_lag_4
0.5911711723556168,21.99999999999803,-1.95,85.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683,45.0,0.5699857388471542,21.999999999010214,30.0,0.5345054183953254,21.999999121617762,15.0,0.498779977642941,22.000000020673838,0.0,0.4201866112993307,22.000037051988116
0.6088949035592744,21.999996908506336,-1.9,85.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683,45.0,0.5911711723556168,21.99999999999803,30.0,0.5699857388471542,21.999999999010214,15.0,0.5345054183953254,21.999999121617762,0.0,0.498779977642941,22.000000020673838
0.6243604182295338,21.999999986543756,-1.85,85.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683,45.0,0.6088949035592744,21.999996908506336,30.0,0.5911711723556168,21.99999999999803,15.0,0.5699857388471542,21.999999999010214,0.0,0.5345054183953254,21.999999121617762
0.6382136981212873,21.99999547543011,-1.8,85.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683,45.0,0.6243604182295338,21.999999986543756,30.0,0.6088949035592744,21.999996908506336,15.0,0.5911711723556168,21.99999999999803,0.0,0.5699857388471542,21.999999999010214
0.659905180795639,21.99999029188139,-1.85,86.75,0.0,0.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,45.0,0.6382136981212873,21.99999547543011,30.0,0.6243604182295338,21.999999986543756,15.0,0.6088949035592744,21.999996908506336,0.0,0.5911711723556168,21.99999999999803
0.680861276916028,21.9999999973677,-1.9,88.5,0.0,0.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,45.0,0.659905180795639,21.99999029188139,30.0,0.6382136981212873,21.99999547543011,15.0,0.6243604182295338,21.999999986543756,0.0,0.6088949035592744,21.999996908506336
0.7016233478801933,21.99999999995927,-1.95,90.25,0.0,0.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,45.0,0.680861276916028,21.9999999973677,30.0,0.659905180795639,21.99999029188139,15.0,0.6382136981212873,21.99999547543011,0.0,0.6243604182295338,21.999999986543756
0.7226107029662917,21.999999999999353,-2.0,92.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,45.0,0.7016233478801933,21.99999999995927,30.0,0.680861276916028,21.9999999973677,15.0,0.659905180795639,21.99999029188139,0.0,0.6382136981212873,21.99999547543011
0.726499948941132,21.99999999999999,-1.75,90.25,0.0,0.0,0.8660254037844386,0.5000000000000001,0.7071067811865475,0.7071067811865476,45.0,0.7226107029662917,21.999999999999353,30.0,0.7016233478801933,21.99999999995927,15.0,0.680861276916028,21.9999999973677,0.0,0.659905180795639,21.99999029188139
0.7295608220946357,22.0,-1.5,88.5,0.0,0.0,0.8660254037844386,0.5000000000000001,0.7071067811865475,0.7071067811865476,45.0,0.726499948941132,21.99999999999999,30.0,0.7226107029662917,21.999999999999353,15.0,0.7016233478801933,21.99999999995927,0.0,0.680861276916028,21.9999999973677
